acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
9.504147502620066,-1.2555036523571015,-1.8373411633850434,-2.22620896117901,-0.5027916639282457,0.41906191403111925
9.468712059601973,-1.2122368906929326,-1.8096571882756445,-2.349490830319331,-0.3276242410177231,0.23601749882312464
9.473876790043931,-1.2347421229433855,-1.7505738430211817,-2.3313226885735916,0.1370087660776838,0.2886684430132061
9.452115274628062,-1.2352470778852789,-1.7864242575458686,-2.0952760493461087,0.41310160455357,0.24844720360562395
9.480819377305282,-1.2735039124697363,-1.7709315015523577,-1.6910169675911613,0.694554841805465,0.0014441548592428748
9.474909530090821,-1.206069989682143,-1.75611700572409,-1.5887881235046377,0.9244855364200092,0.038307548555169914
9.501777531087717,-1.2410872146585636,-1.8190798053380606,-1.5908011786856713,1.2185202768765797,-0.03760873769880297
9.483809174232682,-1.222056870588454,-1.849226639435198,-1.292945944819601,1.2820707416465433,-0.11566855007081049
9.534212949383223,-1.2367219752983716,-1.881076726188989,-0.9702813483283179,1.3328429129801949,-0.21464491370648747
9.515917262263166,-1.2588815407977048,-1.8780958873869653,-0.8076767108809291,1.3682217463622766,-0.31684902178079233
9.506198029022718,-1.2714879535954555,-1.9046404359989368,-0.5932263858235302,1.4807860558066825,-0.32234441420105164
9.512616680619294,-1.2487888212535392,-1.9117056592059276,-0.32905742041048625,1.509342534956862,-0.32524564393855715
9.515453488178778,-1.2559076047231055,-1.9159370759313976,0.020425953076133905,1.472842377563801,-0.30961139955185063
9.542612432270275,-1.28420811757701,-1.9370091698427379,0.22036220762416603,1.5151573411609127,-0.26524636024939213
9.575174474414215,-1.2865691252077411,-1.9451637760042049,0.4710653630499481,1.4869273939173637,-0.26621304517117034
9.591443122434013,-1.2787452431912718,-1.9371055351506714,0.6249298322025236,1.4381359693972178,-0.24141497005786225
9.587768361487436,-1.2817628637088512,-1.9567266554533758,0.6414481393069744,1.4028620602523645,-0.16398840710278073
9.570443369181117,-1.2890273403089678,-1.964414962354933,0.5948688642509312,1.2418519074112615,-0.0266617328070489
9.551110610462892,-1.300576922681939,-1.971460239598996,0.5545910146458226,1.0696093327004035,0.12247356969722298
9.541214186202348,-1.3088252730065568,-1.9900725703766857,0.4143462505503181,1.0932138365329345,0.1878083081705932
9.537155861874632,-1.3059835643510294,-2.0033843302342857,0.16123947234264874,1.1759189317919474,0.19210921451723312
9.531384111460655,-1.3095720626609222,-2.014599210341951,-0.0894271583797341,1.2084610867939605,0.11499397832895004
9.509180342721939,-1.3044162663024732,-2.030331914919055,-0.26207479351235513,1.1800379941322778,-0.017754358355953813
9.503498765219454,-1.314851759280086,-2.042779188946584,-0.44023254764844033,1.1899733133081942,-0.11716839970947675
